"","year","country","rank","total_points"
"70",2018,"Brazil",4,1442
"71",2022,"Brazil",2,1757
"72",1994,"Bulgaria",24,46
"73",1998,"Bulgaria",23,52
"74",2002,"Bulgaria",44,564
"75",2006,"Bulgaria",39,627
"76",2010,"Bulgaria",29,800
"77",2014,"Bulgaria",66,505
"78",2018,"Bulgaria",61,667
"79",2022,"Bulgaria",65,1362
"80",1994,"Cameroon",26,45
"81",1998,"Cameroon",43,44
"82",2002,"Cameroon",36,589
"83",2006,"Cameroon",17,749
"84",2010,"Cameroon",20,906
"85",2014,"Cameroon",55,561
"86",2018,"Cameroon",49,744
"87",2022,"Cameroon",50,1428
"88",1994,"Canada",52,32
"89",1998,"Canada",66,36
"90",2002,"Canada",76,473
"91",2006,"Canada",83,489
"92",2010,"Canada",74,463
"93",2014,"Canada",90,388
"94",2018,"Canada",98,465
"95",2022,"Canada",63,1375
"96",1994,"Chile",48,34
"97",1998,"Chile",26,50
"98",2002,"Chile",32,604
"99",2006,"Chile",68,544
"100",2010,"Chile",31,774
"101",2014,"Chile",16,957
"102",2018,"Chile",8,1280
"103",2022,"Chile",20,1558
"104",1994,"China",50,32
"105",1998,"China",57,39
"106",2002,"China",62,510
"107",2006,"China",68,517
"108",2010,"China",88,378
"109",2014,"China",85,406
"110",2018,"China",78,552
"111",2022,"China",75,1325
"112",1994,"Colombia",19,50
"113",1998,"Colombia",14,56
"114",2002,"Colombia",17,660
"115",2006,"Colombia",30,669
"116",2010,"Colombia",34,755
"117",2014,"Colombia",18,1005
"118",2018,"Colombia",8,1305
"119",2022,"Colombia",13,1609
"120",1994,"Costa Rica",48,34
"121",1998,"Costa Rica",65,36
"122",2002,"Costa Rica",50,550
"123",2006,"Costa Rica",27,657
"124",2010,"Costa Rica",55,577
"125",2014,"Costa Rica",47,642
"126",2018,"Costa Rica",26,966
"127",2022,"Costa Rica",44,1450
"128",1994,"Croatia",100,15
"129",1998,"Croatia",30,50
"130",2002,"Croatia",15,684
"131",2006,"Croatia",23,698
"132",2010,"Croatia",10,1097
"133",2014,"Croatia",11,1032
"134",2018,"Croatia",16,1084
"135",2022,"Croatia",10,1629
"136",1994,"Cuba",149,1
"137",1998,"Cuba",86,30
"138",2002,"Cuba",82,457
"139",2006,"Cuba",71,524
"140",2010,"Cuba",91,365
"141",2014,"Cuba",102,346
"142",2018,"Cuba",147,298
"143",2022,"Cuba",177,947
"144",1994,"Czech Republic",46,35
"145",1998,"Czech Republic",12,57
"146",2002,"Czech Republic",8,728
"147",2006,"Czech Republic",7,813
"148",2010,"Czech Republic",16,1019
"149",2014,"Czech Republic",29,771
"150",2018,"Czech Republic",35,874
"151",2022,"Czech Republic",40,1465
"152",1994,"Denmark",8,55
"153",1998,"Denmark",11,57
"154",2002,"Denmark",17,663
"155",2006,"Denmark",15,737
"156",2010,"Denmark",29,798
"157",2014,"Denmark",21,884
"158",2018,"Denmark",30,907
"159",2022,"Denmark",12,1621
"160",1994,"Ecuador",48,34
"161",1998,"Ecuador",44,44
"162",2002,"Ecuador",51,548
"163",2006,"Ecuador",36,647
"164",2010,"Ecuador",46,652
"165",2014,"Ecuador",31,780
"166",2018,"Ecuador",36,885
"167",2022,"Ecuador",56,1405
"168",1994,"Egypt",25,45
"169",1998,"Egypt",26,50
"170",2002,"Egypt",37,585
"171",2006,"Egypt",32,667
"172",2010,"Egypt",27,833
"173",2014,"Egypt",44,648
"174",2018,"Egypt",44,785
"175",2022,"Egypt",47,1438
"176",1994,"El Salvador",67,26
"177",1998,"El Salvador",78,32
"178",2002,"El Salvador",89,440
"179",2006,"El Salvador",111,388
"180",2010,"El Salvador",112,284
"181",2014,"El Salvador",81,425
"182",2018,"El Salvador",99,464
"183",2022,"El Salvador",70,1344
"184",1994,"England",13,53
"185",1998,"England",14,56
"186",2002,"England",12,693
"187",2006,"England",8,826
"188",2010,"England",9,1138
"189",2014,"England",9,1108
"190",2018,"England",12,1163
"191",2022,"England",4,1695
"192",1994,"France",16,52
