"","Year","home_team","away_team","home_score","away_score","outcome","home_foreign","home_rank","home_points","away_foreign","away_rank","away_points"
"83",1994,"Cameroon","Sweden",2,2,"t",1,26,45,6,6,57
"84",1998,"Cameroon","Austria",1,1,"t",3,43,44,1,36,46
"85",2002,"Cameroon","Germany",0,2,"l",3,36,589,23,7,725
"86",2002,"Cameroon","Saudi Arabia",1,0,"w",3,36,589,0,38,585
"87",2010,"Cameroon","Netherlands",1,2,"l",4,20,906,12,5,1325
"88",2010,"Cameroon","Denmark",1,2,"l",4,20,906,3,29,798
"89",2014,"Cameroon","Brazil",1,4,"l",5,55,561,0,9,1141
"90",2014,"Cameroon","Croatia",0,4,"l",5,55,561,19,11,1032
"91",1998,"Chile","Cameroon",1,1,"t",0,26,50,3,43,44
"92",1998,"Chile","Austria",1,1,"t",0,26,50,1,36,46
"93",2010,"Chile","Switzerland",1,0,"w",3,31,774,10,28,808
"94",2010,"Chile","Spain",1,2,"l",3,31,774,3,3,1520
"95",2014,"Chile","Australia",3,1,"w",2,16,957,13,42,682
"96",2002,"China","Costa Rica",0,2,"l",1,62,510,0,50,550
"97",1994,"Colombia","Romania",1,3,"l",0,19,50,2,12,54
"98",1998,"Colombia","England",0,2,"l",0,14,56,6,14,56
"99",1998,"Colombia","Tunisia",1,0,"w",0,14,56,1,24,51
"100",2014,"Colombia","Uruguay",2,0,"w",0,18,1005,1,8,1149
"101",2014,"Colombia","Ivory Coast",2,1,"w",0,18,1005,5,18,913
"102",2014,"Colombia","Greece",3,0,"w",0,18,1005,5,13,1005
"103",2018,"Colombia","England",1,1,"t",1,8,1305,10,12,1163
"104",2018,"Colombia","Japan",1,2,"l",1,8,1305,1,52,720
"105",2002,"Costa Rica","Brazil",2,5,"l",0,50,550,0,1,821
"106",2002,"Costa Rica","Türkiye",1,1,"t",0,50,550,6,29,613
"107",2006,"Costa Rica","Poland",1,2,"l",1,27,657,0,27,680
"108",2014,"Costa Rica","Greece",1,1,"t",2,47,642,5,13,1005
"109",2014,"Costa Rica","England",0,0,"t",2,47,642,9,9,1108
"110",2018,"Costa Rica","Serbia",0,1,"l",2,26,966,23,44,772
"111",2002,"Croatia","Mexico",0,1,"l",23,15,684,1,10,703
"112",2006,"Croatia","Australia",2,2,"t",23,23,698,17,56,580
"113",2014,"Croatia","Mexico",1,3,"l",19,11,1032,1,20,893
"114",2018,"Croatia","Denmark",1,1,"t",15,16,1084,7,30,907
"115",2018,"Croatia","Nigeria",2,0,"w",15,16,1084,4,51,732
"116",2018,"Croatia","England",2,1,"w",15,16,1084,10,12,1163
"117",2006,"Czech Republic","Ghana",0,2,"l",23,7,813,1,64,574
"118",2006,"Czech Republic","Italy",0,2,"l",23,7,813,2,10,830
"119",2002,"Denmark","Senegal",1,1,"t",2,17,663,7,71,494
"120",2002,"Denmark","England",0,3,"l",2,17,663,9,12,693
"121",2002,"Denmark","France",2,0,"w",2,17,663,12,2,789
"122",2010,"Denmark","Japan",1,3,"l",3,29,798,1,37,720
"123",2018,"Denmark","Australia",1,1,"t",7,30,907,17,51,729
"124",2018,"Denmark","France",0,0,"t",7,30,907,19,11,1207
"125",2002,"Ecuador","Croatia",1,0,"w",0,51,548,23,15,684
"126",2006,"Ecuador","Germany",0,3,"l",2,36,647,23,12,795
"127",2006,"Ecuador","Costa Rica",3,0,"w",2,36,647,1,27,657
"128",2014,"Ecuador","France",0,0,"t",0,31,780,15,16,952
"129",2018,"Egypt","Uruguay",0,1,"l",1,44,785,5,13,1154
"130",1998,"England","Tunisia",2,0,"w",6,14,56,1,24,51
"131",2002,"England","Brazil",1,2,"l",9,12,693,0,1,821
"132",2002,"England","Sweden",1,1,"t",9,12,693,4,18,658
"133",2006,"England","Trinidad and Tobago",2,0,"w",6,8,826,3,61,543
"134",2006,"England","Ecuador",1,0,"w",6,8,826,2,36,647
"135",2006,"England","Portugal",0,0,"t",6,8,826,7,12,789
"136",2006,"England","Paraguay",1,0,"w",6,8,826,1,26,683
"137",2010,"England","Algeria",0,0,"t",3,9,1138,17,61,548
"138",2010,"England","United States",1,1,"t",3,9,1138,12,20,893
"139",2014,"England","Italy",1,2,"l",9,9,1108,3,8,1099
"140",2018,"England","Belgium",0,1,"l",10,12,1163,12,4,1418
"141",2018,"England","Panama",6,1,"w",10,12,1163,0,59,684
"142",1998,"France","South Africa",3,0,"w",12,9,59,2,33,48
"143",1998,"France","Saudi Arabia",4,0,"w",12,9,59,0,35,47
"144",1998,"France","Denmark",2,1,"w",12,9,59,2,11,57
"145",1998,"France","Croatia",2,1,"w",12,9,59,22,30,50
"146",1998,"France","Paraguay",1,0,"w",12,9,59,2,46,43
"147",2002,"France","Senegal",0,1,"l",12,2,789,7,71,494
"148",2002,"France","Uruguay",0,0,"t",12,2,789,1,37,585
"149",2006,"France","South Korea",1,1,"t",14,3,882,0,27,658
"150",2006,"France","Switzerland",0,0,"t",14,3,882,10,39,654
"151",2010,"France","Mexico",0,2,"l",9,9,1141,1,21,892
"152",2010,"France","South Africa",1,2,"l",9,9,1141,1,71,457
"153",2014,"France","Germany",0,1,"l",15,16,952,17,2,1418
"154",2014,"France","Nigeria",2,0,"w",15,16,952,1,43,639
"155",2014,"France","Honduras",3,0,"w",15,16,952,0,51,591
"156",2018,"France","Australia",2,1,"w",19,11,1207,17,51,729
"157",2018,"France","Belgium",1,0,"w",19,11,1207,12,4,1418
"158",2018,"France","Argentina",4,3,"w",19,11,1207,3,3,1503
"159",2018,"France","Peru",1,0,"w",19,11,1207,1,30,937
"160",2018,"France","Croatia",4,2,"w",19,11,1207,15,16,1084
"161",1994,"Germany","Spain",1,1,"t",22,3,59,0,7,56
"162",1994,"Germany","South Korea",3,2,"w",22,3,59,0,38,38
"163",1994,"Germany","Belgium",3,2,"w",22,3,59,2,24,46
"164",1994,"Germany","Bolivia",1,0,"w",22,3,59,4,52,33
"165",1998,"Germany","Croatia",0,3,"l",22,3,63,22,30,50
"166",1998,"Germany","United States",2,0,"w",22,3,63,11,21,53
"167",1998,"Germany","Iran",2,0,"w",22,3,63,1,70,35
"168",1998,"Germany","Mexico",2,1,"w",22,3,63,1,10,58
"169",2002,"Germany","Brazil",0,2,"l",23,7,725,0,1,821
"170",2002,"Germany","Saudi Arabia",8,0,"w",23,7,725,0,38,585
"171",2002,"Germany","Paraguay",1,0,"w",23,7,725,1,16,668
"172",2002,"Germany","United States",1,0,"w",23,7,725,9,18,653
"173",2002,"Germany","South Korea",1,0,"w",23,7,725,1,38,585
"174",2006,"Germany","Costa Rica",4,2,"w",23,12,795,1,27,657
"175",2006,"Germany","Argentina",1,1,"t",23,12,795,3,4,856
"176",2006,"Germany","Poland",1,0,"w",23,12,795,0,27,680
"177",2006,"Germany","Italy",0,2,"l",23,12,795,2,10,830
"178",2006,"Germany","Portugal",3,1,"w",23,12,795,7,12,789
"179",2006,"Germany","Sweden",2,0,"w",23,12,795,5,17,723
"180",2010,"Germany","Australia",4,0,"w",23,4,1319,14,33,750
"181",2010,"Germany","Spain",0,1,"l",23,4,1319,3,3,1520
"182",2010,"Germany","England",4,1,"w",23,4,1319,3,9,1138
"183",2010,"Germany","Serbia",0,1,"l",23,4,1319,23,25,841
"184",2014,"Germany","Portugal",4,0,"w",17,2,1418,5,7,1137
"185",2014,"Germany","Algeria",2,1,"w",17,2,1418,16,32,749
"186",2014,"Germany","Ghana",2,2,"t",17,2,1418,5,28,786
"187",2014,"Germany","Argentina",1,0,"w",17,2,1418,3,5,1240
"188",2018,"Germany","Sweden",2,1,"w",16,4,1509,6,31,883
"189",2018,"Germany","Mexico",0,1,"l",16,4,1509,1,18,1054
"190",2006,"Ghana","United States",2,1,"w",1,64,574,7,11,749
"191",2010,"Ghana","Germany",0,1,"l",3,28,817,23,4,1319
"192",2010,"Ghana","Australia",1,1,"t",3,28,817,14,33,750
"193",2014,"Ghana","United States",1,2,"l",5,28,786,13,24,845
"194",1994,"Greece","Nigeria",0,2,"l",2,33,41,1,13,53
"195",2010,"Greece","Nigeria",2,1,"w",4,14,993,1,28,807
"196",2010,"Greece","Argentina",0,2,"l",4,14,993,4,5,1314
"197",2014,"Greece","Ivory Coast",2,1,"w",5,13,1005,5,18,913
"198",2010,"Honduras","Chile",0,1,"l",2,47,633,3,31,774
"199",2014,"Honduras","Ecuador",1,2,"l",0,51,591,0,31,780
"200",2014,"Honduras","Switzerland",0,3,"l",0,51,591,14,16,978
"201",2018,"Iceland","Croatia",1,2,"l",2,27,939,15,16,1084
"202",2006,"Iran","Angola",1,1,"t",2,27,666,2,72,527
"203",2014,"Iran","Nigeria",0,0,"t",3,49,595,1,43,639
"204",2018,"Iran","Portugal",1,1,"t",1,35,842,10,6,1314
"205",2018,"Iran","Spain",0,1,"l",1,35,842,5,8,1257
"206",1994,"Italy","Spain",2,1,"w",1,5,58,0,7,56
"207",1994,"Italy","Norway",1,0,"w",1,5,58,1,6,57
"208",1994,"Italy","Mexico",1,1,"t",1,5,58,1,16,51
"209",1998,"Italy","Norway",1,0,"w",3,7,60,1,12,57
"210",1998,"Italy","France",0,0,"t",3,7,60,12,9,59
"211",1998,"Italy","Austria",2,1,"w",3,7,60,1,36,46
"212",1998,"Italy","Chile",2,2,"t",3,7,60,0,26,50
"213",1998,"Italy","Cameroon",3,0,"w",3,7,60,3,43,44
"214",2002,"Italy","Ecuador",2,0,"w",2,7,723,0,51,548
"215",2002,"Italy","Croatia",1,2,"l",2,7,723,23,15,684
"216",2006,"Italy","Ghana",2,0,"w",2,10,830,1,64,574
"217",2006,"Italy","France",1,1,"t",2,10,830,14,3,882
"218",2006,"Italy","Ukraine",3,0,"w",2,10,830,24,47,636
"219",2006,"Italy","United States",1,1,"t",2,10,830,7,11,749
"220",2006,"Italy","Australia",1,0,"w",2,10,830,17,56,580
"221",2010,"Italy","New Zealand",1,1,"t",2,4,1315,8,93,363
"222",2010,"Italy","Paraguay",1,1,"t",2,4,1315,3,24,842
"223",2014,"Italy","Uruguay",0,1,"l",3,8,1099,1,8,1149
"224",2014,"Italy","Costa Rica",0,1,"l",3,8,1099,2,47,642
"225",2006,"Ivory Coast","Serbia and Montenegro",3,2,"w",4,49,616,23,41,612
"226",2010,"Ivory Coast","Portugal",0,0,"t",2,26,826,7,9,1129
"227",2014,"Ivory Coast","Japan",2,1,"w",5,18,913,1,31,758
"228",1998,"Jamaica","Croatia",1,3,"l",8,48,42,22,30,50
"229",1998,"Japan","Croatia",0,1,"l",1,24,51,22,30,50
"230",1998,"Japan","Jamaica",1,2,"l",1,24,51,8,48,42
"231",2002,"Japan","Belgium",2,2,"t",1,40,580,3,26,622
"232",2002,"Japan","Türkiye",0,1,"l",1,40,580,6,29,613
"233",2002,"Japan","Russia",1,0,"w",1,40,580,23,23,633
"234",2006,"Japan","Croatia",0,0,"t",1,24,671,23,23,698
"235",2006,"Japan","Brazil",1,4,"l",1,24,671,1,1,939
"236",2010,"Japan","Cameroon",1,0,"w",1,37,720,4,20,906
"237",2014,"Japan","Colombia",1,4,"l",1,31,758,0,18,1005
"238",2014,"Japan","Greece",0,0,"t",1,31,758,5,13,1005
"239",2018,"Japan","Senegal",2,2,"t",1,52,720,9,33,859
"240",2018,"Japan","Poland",0,1,"l",1,52,720,2,20,1067
"241",1994,"Mexico","Bulgaria",1,1,"t",1,16,51,0,24,46
"242",2002,"Mexico","United States",0,2,"l",1,10,703,9,18,653
"243",2002,"Mexico","Ecuador",2,1,"w",1,10,703,0,51,548
"244",2002,"Mexico","Italy",1,1,"t",1,10,703,2,7,723
"245",2006,"Mexico","Angola",0,0,"t",3,8,766,2,72,527
"246",2006,"Mexico","Iran",3,1,"w",3,8,766,2,27,666
"247",2010,"Mexico","Uruguay",0,1,"l",1,21,892,1,21,901
"248",2014,"Mexico","Cameroon",1,0,"w",1,20,893,5,55,561
"249",2018,"Mexico","Sweden",0,3,"l",1,18,1054,6,31,883
"250",1994,"Morocco","Netherlands",1,2,"l",0,31,42,5,7,57
"251",1998,"Morocco","Norway",2,2,"t",2,24,51,1,12,57
"252",2018,"Morocco","Iran",0,1,"l",18,61,669,1,35,842
"253",1994,"Netherlands","Brazil",2,3,"l",5,7,57,1,2,61
"254",1994,"Netherlands","Saudi Arabia",2,1,"w",5,7,57,0,36,39
"255",1998,"Netherlands","Mexico",2,2,"t",9,10,59,1,10,58
"256",1998,"Netherlands","Argentina",2,1,"w",9,10,59,2,11,58
"257",1998,"Netherlands","Belgium",0,0,"t",9,10,59,5,33,48
"258",1998,"Netherlands","South Korea",5,0,"w",9,10,59,1,36,46
"259",1998,"Netherlands","Croatia",1,2,"l",9,10,59,22,30,50
"260",2006,"Netherlands","Ivory Coast",2,1,"w",8,5,831,4,49,616
"261",2006,"Netherlands","Argentina",0,0,"t",8,5,831,3,4,856
"262",2010,"Netherlands","Denmark",2,0,"w",12,5,1325,3,29,798
"263",2010,"Netherlands","Japan",1,0,"w",12,5,1325,1,37,720
"264",2010,"Netherlands","Brazil",2,1,"w",12,5,1325,1,3,1470
"265",2010,"Netherlands","Spain",0,1,"l",12,5,1325,3,3,1520
"266",2010,"Netherlands","Slovakia",2,1,"w",12,5,1325,23,43,673
"267",2014,"Netherlands","Mexico",2,1,"w",9,6,1285,1,20,893
"268",2014,"Netherlands","Argentina",0,0,"t",9,6,1285,3,5,1240
"269",2014,"Netherlands","Costa Rica",0,0,"t",9,6,1285,2,47,642
"270",2014,"Netherlands","Chile",2,0,"w",9,6,1285,2,16,957
"271",2010,"New Zealand","Slovakia",1,1,"t",8,93,363,23,43,673
"272",1994,"Nigeria","Italy",1,2,"l",1,13,53,1,5,58
"273",1994,"Nigeria","Bulgaria",3,0,"w",1,13,53,0,24,46
"274",1998,"Nigeria","Paraguay",1,3,"l",0,51,42,2,46,43
"275",1998,"Nigeria","Bulgaria",1,0,"w",0,51,42,0,23,52
"276",1998,"Nigeria","Denmark",1,4,"l",0,51,42,2,11,57
"277",2002,"Nigeria","England",0,0,"t",1,50,550,9,12,693
"278",2010,"Nigeria","South Korea",2,2,"t",1,28,807,1,47,620
"279",2014,"Nigeria","Bosnia and Herzegovina",1,0,"w",1,43,639,23,26,809
"280",2014,"Nigeria","Argentina",2,3,"l",1,43,639,3,5,1240
"281",2018,"Nigeria","Iceland",2,0,"w",4,51,732,2,27,939
"282",2018,"Nigeria","Argentina",1,2,"l",4,51,732,3,3,1503
"283",1994,"Norway","Mexico",1,0,"w",1,6,57,1,16,51
"284",2018,"Panama","Tunisia",1,2,"l",0,59,684,9,33,866
"285",1998,"Paraguay","Bulgaria",0,0,"t",2,46,43,0,23,52
"286",2002,"Paraguay","South Africa",2,2,"t",1,16,668,3,27,621
"287",2006,"Paraguay","Trinidad and Tobago",2,0,"w",1,26,683,3,61,543
"288",2010,"Paraguay","Japan",0,0,"t",3,24,842,1,37,720
"289",2010,"Paraguay","Spain",0,1,"l",3,24,842,3,3,1520
"290",2010,"Paraguay","New Zealand",0,0,"t",3,24,842,8,93,363
"291",2018,"Peru","Denmark",0,1,"l",1,30,937,7,30,907
"292",2002,"Poland","United States",3,1,"w",1,33,603,9,18,653
"293",2006,"Poland","Ecuador",0,2,"l",0,27,680,2,36,647
"294",2018,"Poland","Senegal",1,2,"l",2,20,1067,9,33,859
"295",2018,"Poland","Colombia",0,3,"l",2,20,1067,1,8,1305
"296",2002,"Portugal","South Korea",0,1,"l",4,10,704,1,38,585
"297",2002,"Portugal","Poland",4,0,"w",4,10,704,1,33,603
"298",2006,"Portugal","Iran",2,0,"w",7,12,789,2,27,666
"299",2006,"Portugal","Netherlands",1,0,"w",7,12,789,8,5,831
"300",2006,"Portugal","France",0,1,"l",7,12,789,14,3,882
"301",2006,"Portugal","Mexico",2,1,"w",7,12,789,3,8,766
"302",2010,"Portugal","Brazil",0,0,"t",7,9,1129,1,3,1470
"303",2014,"Portugal","Ghana",2,1,"w",5,7,1137,5,28,786
"304",2018,"Portugal","Spain",3,3,"t",10,6,1314,5,8,1257
"305",2018,"Portugal","Morocco",1,0,"w",10,6,1314,18,61,669
"306",1994,"Romania","Switzerland",1,4,"l",2,12,54,4,9,55
"307",1994,"Romania","Argentina",3,2,"w",2,12,54,1,9,55
"308",1994,"Romania","Sweden",2,2,"t",2,12,54,6,6,57
"309",1998,"Romania","Colombia",1,0,"w",1,12,57,0,14,56
"310",1998,"Romania","Tunisia",1,1,"t",1,12,57,1,24,51
"311",1998,"Romania","Croatia",0,1,"l",1,12,57,22,30,50
"312",1998,"Romania","England",2,1,"w",1,12,57,6,14,56
"313",1994,"Russia","Cameroon",6,1,"w",22,14,53,17,26,45
"314",1994,"Russia","Cameroon",6,1,"w",22,14,53,1,26,45
"315",2002,"Russia","Tunisia",2,0,"w",23,23,633,2,29,613
"316",2014,"Russia","South Korea",1,1,"t",22,16,954,0,42,657
"317",2018,"Russia","Croatia",2,2,"t",17,46,783,15,16,1084
"318",2018,"Russia","Egypt",3,1,"w",17,46,783,1,44,785
"319",2018,"Russia","Saudi Arabia",5,0,"w",17,46,783,0,69,616
"320",1994,"Saudi Arabia","Sweden",1,3,"l",0,36,39,6,6,57
"321",1994,"Saudi Arabia","Morocco",2,1,"w",0,36,39,0,31,42
"322",1998,"Saudi Arabia","Denmark",0,1,"l",0,35,47,2,11,57
"323",2006,"Saudi Arabia","Spain",0,1,"l",0,37,618,3,5,830
"324",2006,"Saudi Arabia","Ukraine",0,4,"l",0,37,618,24,47,636
"325",2018,"Saudi Arabia","Egypt",2,1,"w",0,69,616,1,44,785
"326",1998,"Scotland","Morocco",0,3,"l",3,31,48,2,24,51
"327",1998,"Scotland","Norway",1,1,"t",3,31,48,1,12,57
"328",2002,"Senegal","Uruguay",3,3,"t",7,71,494,1,37,585
"329",2002,"Senegal","Türkiye",0,1,"l",7,71,494,6,29,613
"330",2018,"Senegal","Colombia",0,1,"l",9,33,859,1,8,1305
"331",2006,"Serbia and Montenegro","Netherlands",0,1,"l",23,41,612,8,5,831
"332",2010,"Serbia","Ghana",0,1,"l",23,25,841,3,28,817
"333",2018,"Serbia","Switzerland",1,2,"l",23,44,772,15,11,1186
"334",2018,"Serbia","Brazil",0,2,"l",23,44,772,1,4,1442
"335",2010,"Slovakia","Paraguay",0,2,"l",23,43,673,3,24,842
"336",2010,"Slovakia","Italy",3,2,"w",23,43,673,2,4,1315
"337",2002,"Slovenia","Paraguay",1,3,"l",23,43,570,1,16,668
"338",2010,"Slovenia","United States",2,2,"t",23,58,570,12,20,893
"339",2010,"Slovenia","England",0,1,"l",23,58,570,3,9,1138
"340",1998,"South Africa","Denmark",1,1,"t",2,33,48,2,11,57
"341",1998,"South Africa","Saudi Arabia",2,2,"t",2,33,48,0,35,47
"342",2002,"South Africa","Spain",2,3,"l",3,27,621,1,6,737
"343",2002,"South Africa","Slovenia",1,0,"w",3,27,621,23,43,570
"344",2010,"South Africa","Mexico",1,1,"t",1,71,457,1,21,892
"345",2010,"South Africa","Uruguay",0,3,"l",1,71,457,1,21,901
"346",1994,"South Korea","Bolivia",0,0,"t",0,38,38,4,52,33
"347",1998,"South Korea","Mexico",1,3,"l",1,36,46,1,10,58
"348",2002,"South Korea","Italy",2,1,"w",1,38,585,2,7,723
"349",2002,"South Korea","United States",1,1,"t",1,38,585,9,18,653
"350",2002,"South Korea","Poland",2,0,"w",1,38,585,1,33,603
"351",2002,"South Korea","Türkiye",2,3,"l",1,38,585,6,29,613
"352",2006,"South Korea","Togo",2,1,"w",0,27,658,6,78,513
"353",2010,"South Korea","Greece",2,0,"w",1,47,620,4,14,993
"354",2014,"South Korea","Belgium",0,1,"l",0,42,657,12,26,891
"355",2014,"South Korea","Algeria",2,4,"l",0,42,657,16,32,749
"356",2018,"South Korea","Germany",2,0,"w",0,52,715,16,4,1509
"357",2018,"South Korea","Mexico",1,2,"l",0,52,715,1,18,1054
"358",1994,"Spain","South Korea",2,2,"t",0,7,56,0,38,38
"359",1994,"Spain","Switzerland",3,0,"w",0,7,56,4,9,55
"360",1998,"Spain","Nigeria",2,3,"l",2,8,60,0,51,42
"361",1998,"Spain","Paraguay",0,0,"t",2,8,60,2,46,43
"362",1998,"Spain","Bulgaria",6,1,"w",2,8,60,0,23,52
"363",2002,"Spain","Slovenia",3,1,"w",1,6,737,23,43,570
"364",2002,"Spain","Paraguay",3,1,"w",1,6,737,1,16,668
"365",2002,"Spain","South Korea",0,0,"t",1,6,737,1,38,585
"366",2006,"Spain","Ukraine",4,0,"w",3,5,830,24,47,636
"367",2006,"Spain","Tunisia",3,1,"w",3,5,830,8,35,652
"368",2006,"Spain","France",1,3,"l",3,5,830,14,3,882
"369",2010,"Spain","Honduras",2,0,"w",3,3,1520,2,47,633
"370",2010,"Spain","Switzerland",0,1,"l",3,3,1520,10,28,808
"371",2010,"Spain","Portugal",1,0,"w",3,3,1520,7,9,1129
"372",2014,"Spain","Chile",0,2,"l",2,2,1543,2,16,957
"373",2014,"Spain","Netherlands",1,5,"l",2,2,1543,9,6,1285
"374",2018,"Spain","Russia",1,1,"t",5,8,1257,17,46,783
"375",2018,"Spain","Morocco",2,2,"t",5,8,1257,18,61,669
"376",1994,"Sweden","Bulgaria",4,0,"w",6,6,57,0,24,46
"377",1994,"Sweden","Russia",3,1,"w",6,6,57,22,14,53
"378",1994,"Sweden","Brazil",0,1,"l",6,6,57,1,2,61
"379",2002,"Sweden","Senegal",1,2,"l",4,18,658,7,71,494
"380",2002,"Sweden","Nigeria",2,1,"w",4,18,658,1,50,550
"381",2002,"Sweden","Argentina",1,1,"t",4,18,658,1,4,754
"382",2006,"Sweden","Paraguay",1,0,"w",5,17,723,1,26,683
"383",2006,"Sweden","England",2,2,"t",5,17,723,6,8,826
