"","home_team","away_team","Year","home_score","away_score","outcome","home_foreign","away_foreign"
"222","Brazil","Costa Rica",2018,2,0,"w",1,2
"223","Switzerland","Costa Rica",2018,2,2,"t",15,2
"226","Romania","Croatia",1998,0,1,"l",1,22
"227","Germany","Croatia",1998,0,3,"l",22,22
"228","Netherlands","Croatia",1998,1,2,"l",9,22
"229","France","Croatia",1998,2,1,"w",12,22
"230","Jamaica","Croatia",1998,1,3,"l",8,22
"231","Argentina","Croatia",1998,1,0,"w",2,22
"232","Japan","Croatia",1998,0,1,"l",1,22
"233","Ecuador","Croatia",2002,1,0,"w",0,23
"234","Italy","Croatia",2002,1,2,"l",2,23
"235","Brazil","Croatia",2006,1,0,"w",1,23
"236","Japan","Croatia",2006,0,0,"t",1,23
"237","Brazil","Croatia",2014,3,1,"w",0,19
"238","Cameroon","Croatia",2014,0,4,"l",5,19
"239","France","Croatia",2018,4,2,"w",19,15
"240","Iceland","Croatia",2018,1,2,"l",2,15
"241","Russia","Croatia",2018,2,2,"t",17,15
"242","Argentina","Croatia",2018,0,3,"l",3,15
"246","Sweden","Cuba",1938,8,0,"w",0,4
"267","United States","Czech Republic",2006,0,3,"l",7,23
"268","Scotland","Denmark",1986,0,1,"l",2,0
"269","France","Denmark",1998,2,1,"w",12,2
"270","South Africa","Denmark",1998,1,1,"t",2,2
"271","Saudi Arabia","Denmark",1998,0,1,"l",0,2
"272","Nigeria","Denmark",1998,1,4,"l",0,2
"273","Brazil","Denmark",1998,3,2,"w",2,2
"274","Uruguay","Denmark",2002,1,2,"l",1,2
"275","Netherlands","Denmark",2010,2,0,"w",12,3
"276","Cameroon","Denmark",2010,1,2,"l",4,3
"277","Peru","Denmark",2018,0,1,"l",1,7
"278","Croatia","Denmark",2018,1,1,"t",15,7
"281","Hungary","Dutch East Indies",1938,6,0,"w",22,0
"282","Italy","Ecuador",2002,2,0,"w",2,0
"283","Mexico","Ecuador",2002,2,1,"w",1,0
"284","Poland","Ecuador",2006,0,2,"l",0,2
"285","England","Ecuador",2006,1,0,"w",6,2
"286","Switzerland","Ecuador",2014,2,1,"w",14,0
"287","Honduras","Ecuador",2014,1,2,"l",0,0
"290","Hungary","Egypt",1934,4,2,"w",22,0
"291","Netherlands","Egypt",1990,1,1,"t",9,0
"292","England","Egypt",1990,1,0,"w",3,0
"293","Ireland","Egypt",1990,0,0,"t",16,0
"294","Russia","Egypt",2018,3,1,"w",17,1
"295","Saudi Arabia","Egypt",2018,2,1,"w",0,1
"296","Mexico","El Salvador",1970,4,0,"w",0,0
"297","Soviet Union","El Salvador",1970,2,0,"w",0,0
"298","Belgium","El Salvador",1970,3,0,"w",1,0
"299","Hungary","El Salvador",1982,10,1,"w",0,0
"300","Argentina","El Salvador",1982,2,0,"w",0,0
"301","Belgium","El Salvador",1982,1,0,"w",1,0
"302","United States","England",1950,1,0,"w",9,1
"303","Spain","England",1950,1,0,"w",0,1
"304","Switzerland","England",1954,0,2,"l",2,0
"305","Uruguay","England",1954,4,2,"w",3,0
"306","Soviet Union","England",1958,1,0,"w",0,0
"307","Brazil","England",1958,0,0,"t",2,0
"308","Soviet Union","England",1958,2,2,"t",0,0
"309","Hungary","England",1962,2,1,"w",0,0
"310","Brazil","England",1962,3,1,"w",0,0
"311","Brazil","England",1970,1,0,"w",1,4
"312","Germany","England",1970,3,2,"w",21,4
"313","Spain","England",1982,0,0,"t",1,2
"314","Germany","England",1982,0,0,"t",1,2
